filename,width,height,class,xmin,ymin,xmax,ymax
10019-2552-30135.jpg,1280,720,chip,314,42,908,575
10040-4094-5376.jpg,1280,720,bottle,409,148,1171,564
10052-5125-3349.jpg,1280,720,can,401,294,958,610
10053-14680-10020.jpg,1280,720,bottle,513,86,723,527
10056-3723-1376.jpg,1280,720,chip,271,102,808,588
1006-11558-15380.jpg,1280,720,bottle,433,24,843,679
10066-11195-27665.jpg,1280,720,bottle,414,133,637,643
10076-13794-26769.jpg,1280,720,chip,207,100,1052,529
10079-9258-28246.jpg,1280,720,can,459,114,767,650
10080-17951-15387.jpg,1280,720,chip,81,11,1078,531
10085-28299-1288.jpg,1280,720,bottle,513,65,760,659
10091-27127-18224.jpg,1280,720,can,326,100,590,512
10100-190-18671.jpg,1280,720,chip,186,95,788,627
10111-18362-11096.jpg,1280,720,can,283,46,871,461
10112-27983-3360.jpg,1280,720,tray,181,23,795,450
10130-32550-28229.jpg,1280,720,can,320,143,664,704
10154-6174-16413.jpg,1280,720,can,491,39,806,551
10170-20927-11715.jpg,1280,720,chip,278,27,941,631
10171-30617-23066.jpg,1280,720,chip,285,54,983,581
10172-7900-19027.jpg,1280,720,bottle,147,204,1036,536
1018-7107-13901.jpg,1280,720,can,350,148,769,479
10193-26625-10904.jpg,1280,720,chip,257,4,954,620
10199-2308-24783.jpg,1280,720,chip,297,19,932,495
10204-12534-8185.jpg,1280,720,can,390,8,936,588
10206-5803-6302.jpg,1280,720,bottle,142,199,1036,620
10220-19725-3837.jpg,1280,720,bottle,415,5,872,613
10233-26736-2689.jpg,1280,720,chip,218,28,955,523
10233-30469-24840.jpg,1280,720,chip,100,1,704,524
10240-16475-15363.jpg,1280,720,tray,315,103,795,548
10255-16493-23080.jpg,1280,720,bottle,432,80,739,619
10279-5685-30557.jpg,1280,720,can,124,180,630,674
10286-8975-19101.jpg,1280,720,can,348,234,907,530
10294-29160-15970.jpg,1280,720,can,285,155,820,446
10299-6695-13257.jpg,1280,720,chip,151,112,1072,377
10299-7080-28340.jpg,1280,720,can,233,69,648,522
10320-24557-10326.jpg,1280,720,tray,336,37,726,310
10326-15244-2941.jpg,1280,720,chip,342,1,1072,475
10328-8841-15324.jpg,1280,720,can,180,16,681,404
10333-8087-23755.jpg,1280,720,can,345,284,982,680
10344-12816-13929.jpg,1280,720,chip,213,13,902,517
10344-29025-1944.jpg,1280,720,chip,198,83,1038,535
10347-13200-11748.jpg,1280,720,bottle,558,75,832,649
10368-20316-529.jpg,1280,720,can,229,139,779,657
10382-12780-18094.jpg,1280,720,bottle,510,95,727,684
10394-5207-22245.jpg,1280,720,can,368,139,695,599
10395-26637-7877.jpg,1280,720,can,446,390,841,611
10396-21103-22451.jpg,1280,720,bottle,525,44,783,635
10399-31462-370.jpg,1280,720,tray,337,159,855,623
1040-20707-25094.jpg,1280,720,chip,197,50,997,621
10402-16705-2050.jpg,1280,720,tray,282,63,750,534
10407-28866-28377.jpg,1280,720,bottle,148,54,927,433
10418-26069-24714.jpg,1280,720,tray,349,175,899,618
10422-5858-8697.jpg,1280,720,can,183,304,854,672
10423-3897-16339.jpg,1280,720,bottle,361,63,736,511
10424-18277-20628.jpg,1280,720,bottle,117,333,1155,679
10426-6185-19815.jpg,1280,720,can,336,68,620,559
10427-15218-12654.jpg,1280,720,can,340,273,908,607
10430-29843-32103.jpg,1280,720,chip,186,57,857,580
10433-1090-29876.jpg,1280,720,can,323,90,858,502
10440-2052-7817.jpg,1280,720,tray,127,122,1207,530
10465-3944-1902.jpg,1280,720,can,371,56,663,528
10467-30302-27533.jpg,1280,720,can,224,58,548,586
10470-31250-374.jpg,1280,720,chip,295,28,826,619
10490-15060-29066.jpg,1280,720,bottle,410,58,633,605
10495-19104-30753.jpg,1280,720,chip,354,59,936,582
10507-26721-9777.jpg,1280,720,chip,366,92,775,650
10517-26981-31568.jpg,1280,720,chip,326,41,786,586
10519-15788-4679.jpg,1280,720,chip,201,99,877,645
10530-30509-12604.jpg,1280,720,bottle,626,93,945,500
10531-11010-15773.jpg,1280,720,chip,220,92,931,460
10531-22457-20438.jpg,1280,720,tray,408,52,924,394
1054-8406-9138.jpg,1280,720,can,514,160,750,579
1056-19333-16202.jpg,1280,720,chip,202,62,855,648
10563-4789-27117.jpg,1280,720,chip,179,113,1087,497
10571-31699-18488.jpg,1280,720,chip,215,57,996,586
